,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
25,"Gross USA: $21,834,144",6.7,"R, 1 hr 48 min
Comedy, Drama",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jay Roach, Writer:: Charles Randolph, Stars:: Charlize Theron, Nicole Kidman, Margot Robbie, See full cast & crew, ",0.020833333333333332,$10.65,1:30p,BOMBSHELL (2019)2
26,"Gross USA: $21,834,144",6.7,"R, 1 hr 48 min
Comedy, Drama",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jay Roach, Writer:: Charles Randolph, Stars:: Charlize Theron, Nicole Kidman, Margot Robbie, See full cast & crew, ",0.041666666666666664,$12.25,4:15p,BOMBSHELL (2019)3
27,"Gross USA: $21,834,144",6.7,"R, 1 hr 48 min
Comedy, Drama",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jay Roach, Writer:: Charles Randolph, Stars:: Charlize Theron, Nicole Kidman, Margot Robbie, See full cast & crew, ",0.0,$12.25,7:00p,BOMBSHELL (2019)4
28,"Gross USA: $21,834,144",6.7,"R, 1 hr 48 min
Comedy, Drama",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jay Roach, Writer:: Charles Randolph, Stars:: Charlize Theron, Nicole Kidman, Margot Robbie, See full cast & crew, ",0.0,$12.25,10:00p,BOMBSHELL (2019)5
29,"Gross USA: $218,331,405",7.0,"PG-13, 1 hr 54 min
Action/Adventure, Comedy",Release Date: 13 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jake Kasdan, Writers:: Jake Kasdan, Jeff Pinkner, 2 more credits, Stars:: Dwayne Johnson, Jack Black, Kevin Hart, See full cast & crew, ",0.35443037974683544,$6.17,11:15a,JUMANJI: THE NEXT LEVEL1
30,"Gross USA: $218,331,405",7.0,"PG-13, 1 hr 54 min
Action/Adventure, Comedy",Release Date: 13 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jake Kasdan, Writers:: Jake Kasdan, Jeff Pinkner, 2 more credits, Stars:: Dwayne Johnson, Jack Black, Kevin Hart, See full cast & crew, ",0.08227848101265822,$10.65,2:00p,JUMANJI: THE NEXT LEVEL2
31,"Gross USA: $218,331,405",7.0,"PG-13, 1 hr 54 min
Action/Adventure, Comedy",Release Date: 13 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jake Kasdan, Writers:: Jake Kasdan, Jeff Pinkner, 2 more credits, Stars:: Dwayne Johnson, Jack Black, Kevin Hart, See full cast & crew, ",0.0379746835443038,$12.25,4:45p,JUMANJI: THE NEXT LEVEL3
32,"Gross USA: $218,331,405",7.0,"PG-13, 1 hr 54 min
Action/Adventure, Comedy",Release Date: 13 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jake Kasdan, Writers:: Jake Kasdan, Jeff Pinkner, 2 more credits, Stars:: Dwayne Johnson, Jack Black, Kevin Hart, See full cast & crew, ",0.0,$12.25,7:30p,JUMANJI: THE NEXT LEVEL4
33,"Gross USA: $218,331,405",7.0,"PG-13, 1 hr 54 min
Action/Adventure, Comedy",Release Date: 13 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Jake Kasdan, Writers:: Jake Kasdan, Jeff Pinkner, 2 more credits, Stars:: Dwayne Johnson, Jack Black, Kevin Hart, See full cast & crew, ",0.0,$12.25,10:20p,JUMANJI: THE NEXT LEVEL5
34,"Gross USA: $31,511,019",8.0,"R, 2 hr 15 min
Comedy, Drama, Suspense/Thriller",Release Date: 25 December 2019 (USA) See more »,," Directors:: Benny Safdie, Josh Safdie, Writers:: Ronald Bronstein, Josh Safdie, 1 more credit, Stars:: Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, See full cast & crew, ",,,,UNCUT GEMS1
